title,description,category,price
"Face Cream","A moisturizing face cream suitable for all skin types.","Skin Care",15.99
"Hair Shampoo","Organic shampoo for all hair types, infused with essential oils.","Hair Care",10.99
"Laptop Sleeve","Durable and water-resistant laptop sleeve for 13-inch laptops.","Accessories",25.49
"Wireless Earbuds","Noise-cancelling wireless earbuds with a compact charging case.","Electronics",49.99
"Yoga Mat","Eco-friendly yoga mat with non-slip surface.","Fitness",20.00
"Face Serum","GlowBoost: Vitamin C face serum for radiant and hydrated skin.","Skin Care",19.99
"Body Lotion","SmoothSilk: Hydrating body lotion with shea butter and aloe vera.","Skin Care",11.99
"Travel Backpack","TravelPro: Lightweight and water-resistant travel backpack with multiple compartments.","Accessories",45.00
"Noise Cancelling Headphones","SilentZone: Over-ear noise-cancelling headphones with 30-hour battery life.","Electronics",99.99
"Running Shorts","SwiftMove: Quick-dry running shorts with built-in liner.","Fitness",25.00
"Smart Light Bulb","GlowSmart: Wi-Fi-enabled smart light bulb with color-changing options.","Home Appliances",15.00
"Electric Toothbrush","SmileTech: Rechargeable electric toothbrush with multiple cleaning modes.","Health",39.99
"Cookbook","Chef's Delight: 100 easy and delicious recipes for home cooks.","Books",20.00
"Kids Tablet","LearnPad: Durable tablet for kids with parental controls and educational games.","Electronics",89.99
"Standing Desk","WorkFlex: Adjustable standing desk with ergonomic design.","Furniture",250.00
"Weighted Blanket","CalmComfort: Ultra-soft weighted blanket for better sleep and relaxation.","Home Decor",60.00
"Camera Tripod","SteadyShot: Lightweight and adjustable tripod for cameras and smartphones.","Electronics",30.00
"Wireless Mouse","ClickEase: Ergonomic wireless mouse with silent buttons.","Electronics",15.99
"Frying Pan","ProCook: Non-stick frying pan with durable stainless steel handle.","Kitchen",29.99
"Pet Bed","CozyPaw: Comfortable pet bed with washable cover.","Pet Supplies",35.00
"Electric Scooter","RideEase: Foldable electric scooter with long battery life and LED display.","Outdoor",299.99
"Camping Tent","TrailGuard: Waterproof 4-person camping tent with easy setup.","Outdoor",125.00
"Massage Gun","RelaxPro: Handheld massage gun with adjustable intensity levels.","Health",99.00
"Cutlery Set","SilverEdge: Stainless steel cutlery set for six people.","Kitchen",55.00
"Wireless Doorbell","RingEase: Long-range wireless doorbell with multiple chime options.","Home Appliances",28.00
"Book Light","NightRead: Clip-on book light with adjustable brightness levels.","Accessories",12.99
"Portable Blender","BlendPro: USB rechargeable portable blender for smoothies and shakes.","Kitchen",35.00
"Puzzle Set","MindFlex: 1000-piece jigsaw puzzle with a beautiful landscape design.","Toys",15.00
"Bike Helmet","SafeRide: Lightweight bike helmet with adjustable straps and ventilation.","Fitness",40.00
"Baby Monitor","SleepGuard: Video baby monitor with night vision and two-way audio.","Electronics",150.00
"Home Security Camera","SecureView: Wi-Fi-enabled home security camera with motion detection.","Home Appliances",50.00
"Car Vacuum Cleaner","AutoClean: Compact and portable car vacuum cleaner with powerful suction.","Automotive",40.00
"Electric Griddle","GrillMaster: Large electric griddle with non-stick surface and adjustable temperature.","Kitchen",45.00
"Bathrobe","CloudSoft: Plush microfiber bathrobe with pockets and waist tie.","Clothing",30.00
"Electric Blanket","WarmEase: Heated electric blanket with adjustable temperature settings.","Home Decor",70.00
"Smart Thermostat","HeatWave: Wi-Fi-enabled smart thermostat with energy-saving features.","Home Appliances",120.00
"Fitness Resistance Bands","PowerFlex: Set of resistance bands for home workouts.","Fitness",20.00
"Smartphone Case","ShieldGuard: Shockproof and stylish smartphone case with multiple color options.","Accessories",14.99
"Portable Speaker","BoomBox: Waterproof portable Bluetooth speaker with 15-hour battery life.","Electronics",59.99
"Electric Grill","GrillMaster: Compact electric grill with non-stick surface and adjustable temperature.","Kitchen",99.99
"Electric Shaver","SmoothTrim: Rechargeable electric shaver with skin-sensitive technology.","Health",49.99
"Wall Clock","TimeKeeper: Modern wall clock with silent quartz movement and minimalistic design.","Home Decor",35.00
"Desk Organizer","ClutterFree: Adjustable desk organizer with multiple compartments for efficient storage.","Office Supplies",24.99
"Travel Pillow","ComfortRest: Memory foam travel pillow for neck support during long trips.","Accessories",18.99
"Blender","BlendMaster: High-speed blender for smoothies, soups, and more.","Kitchen",79.99
"Smartwatch Charger","ChargeMate: Wireless charger for smartwatches with magnetic alignment.","Electronics",19.99
"Cooking Thermometer","CookPerfect: Digital cooking thermometer with instant read feature.","Kitchen",15.99
"Handheld Fan","CoolBreeze: Portable handheld fan with USB charging.","Electronics",12.99
"Garden Tools Set","GreenThumb: 10-piece garden tool set with ergonomic handles.","Outdoor",29.99
"Waterproof Backpack","AquaSafe: Waterproof backpack with padded straps and multiple compartments.","Accessories",45.00
"Electric Rice Cooker","RicePerfect: 5-cup electric rice cooker with keep-warm function.","Home Appliances",35.00
"Fitness Mat","PowerMat: High-density foam fitness mat for yoga and workouts.","Fitness",29.00
"Air Purifier","PureAir: Compact air purifier with HEPA filter and quiet operation.","Home Appliances",89.99
"Electric Ice Cream Maker","CreamyDelight: Automatic electric ice cream maker with adjustable settings.","Kitchen",50.00
"Portable Air Conditioner","CoolBreeze: Portable air conditioner with energy-efficient cooling.","Home Appliances",250.00
"Bluetooth Keyboard","TypeEase: Compact Bluetooth keyboard with fast connection and long battery life.","Electronics",32.00
"Multi-Tool Kit","FixPro: 12-in-1 multi-tool kit for home and outdoor repairs.","Tools",22.99
"Gaming Headset","GameX: Over-ear gaming headset with surround sound and noise cancellation.","Electronics",69.99
"Digital Picture Frame","PhotoView: Digital photo frame with touch screen and Wi-Fi connectivity.","Home Decor",120.00
"Smartphone Tripod","FlexiPod: Adjustable smartphone tripod for stable photos and videos.","Electronics",25.99
"Camping Stove","TrailCook: Portable camping stove with adjustable flame.","Outdoor",40.00
"Smart Plug","PowerConnect: Wi-Fi-enabled smart plug for controlling appliances remotely.","Home Appliances",16.99
"Coffee Grinder","GrindMaster: Burr coffee grinder with adjustable grind settings.","Kitchen",45.00
"Sleep Mask","DreamShade: Comfortable sleep mask with adjustable straps and breathable fabric.","Health",12.50
"Electric Wine Opener","WineEase: Rechargeable electric wine opener with foil cutter and storage stand.","Kitchen",29.99
"Outdoor Blanket","BeachCozy: Oversized outdoor blanket with water-resistant backing.","Outdoor",39.00
"Home Theater System","CinemaSound: 5.1-channel home theater system with surround sound and Bluetooth connectivity.","Electronics",200.00
